,sneaker,price,brand
1,['Jordan 1 Retro High Sports Illustrated (A Star Is Born)'],118,Jordan
71,['Jordan 1 Retro High Black Crimson Tint'],125,Jordan
44,['Jordan 1 Retro High Black Crimson Tint'],125,Jordan
