,brand,price,year
318,air,225,2004
319,nike,160,2004
320,air,195,2004
321,nike,250,2004
322,nike,300,2004
323,nike,458,2004
324,jordan,240,2004
325,jordan,260,2004
326,nike,760,2004
327,air,442,2004
328,air,175,2004
329,air,200,2004
330,air,225,2004
331,nike,234,2004
332,air,250,2004
333,air,288,2004
334,nike,299,2004
335,nike,350,2004
336,converse,350,2004
337,air,388,2004
338,nike,411,2004
339,nike,425,2004
340,air,488,2004
341,nike,500,2004
342,air,500,2004
343,air,500,2004
344,air,525,2004
345,air,900,2004
346,jordan,550,2003
347,air,229,2003
348,jordan,155,2003
349,jordan,275,2003
350,jordan,450,2003
351,jordan,301,2003
352,air,330,2003
353,nike,200,2003
354,air,150,2003
355,jordan,325,2003
356,jordan,390,2003
357,jordan,180,2003
358,nike,222,2003
359,nike,390,2003
360,nike,419,2003
361,air,180,2003
362,jordan,179,2003
363,jordan,280,2003
364,air,120,2003
365,nike,592,2003
366,jordan,200,2003
367,air,211,2003
368,jordan,160,2003
369,jordan,159,2003
370,jordan,194,2003
371,jordan,205,2003
372,jordan,298,2003
373,jordan,225,2003
374,nike,625,2003
375,jordan,211,2003
376,jordan,230,2003
377,nike,800,2003
378,air,140,2003
379,air,145,2003
380,air,150,2003
381,air,150,2003
382,air,160,2003
383,air,173,2003
384,air,175,2003
385,air,175,2003
386,nike,180,2003
387,air,189,2003
388,nike,226,2003
389,air,250,2003
390,nike,250,2003
391,air,250,2003
392,air,260,2003
393,air,300,2003
394,air,300,2003
395,nike,304,2003
396,nike,399,2003
397,air,792,2003
398,nike,793,2003
399,jordan,139,2002
400,jordan,169,2002
401,jordan,270,2002
402,jordan,220,2002
403,jordan,295,2002
404,jordan,350,2002
405,nike,875,2002
406,nike,925,2002
407,nike,950,2002
408,jordan,200,2002
409,jordan,375,2002
410,jordan,263,2002
411,air,300,2002
412,jordan,300,2002
413,jordan,200,2002
414,nike,435,2002
415,jordan,200,2002
416,jordan,200,2002
417,jordan,500,2002
418,air,212,2002
419,jordan,365,2002
420,jordan,240,2002
421,nike,295,2002
422,nike,877,2002
423,jordan,350,2002
424,jordan,205,2002
425,air,107,2002
426,None,200,2002
427,air,230,2002
428,air,250,2002
429,air,300,2002
430,air,604,2002
431,nike,680,2002
432,air,850,2002
433,jordan,315,2001
434,air,307,2001
435,jordan,270,2001
436,jordan,325,2001
437,jordan,549,2001
438,jordan,360,2001
439,jordan,235,2001
440,jordan,350,2001
441,jordan,664,2001
442,jordan,485,2001
443,jordan,234,2001
444,jordan,793,2001
445,jordan,450,2001
446,jordan,299,2001
447,jordan,600,2001
448,jordan,900,2001
449,jordan,223,2001
450,jordan,350,2001
451,jordan,380,2001
452,jordan,400,2001
453,air,300,2001
454,jordan,350,2001
455,jordan,400,2001
456,jordan,350,2001
457,jordan,315,2001
458,reebok,112,2001
459,air,117,2001
460,air,156,2001
461,air,300,2001
462,air,350,2001
463,air,358,2001
464,jordan,799,2001
465,jordan,350,2000
466,jordan,282,2000
467,jordan,250,2000
468,jordan,325,2000
469,jordan,300,2000
470,jordan,275,2000
471,jordan,167,2000
472,jordan,200,2000
473,jordan,375,2000
474,jordan,333,2000
475,jordan,295,2000
476,jordan,310,2000
477,jordan,185,2000
478,kobe,290,2000
479,jordan,300,2000
480,jordan,300,2000
481,air,369,2000
482,jordan,155,1999
483,jordan,275,1999
484,jordan,755,1999
485,jordan,247,1999
486,jordan,399,1999
487,jordan,499,1999
488,jordan,385,1999
489,jordan,430,1999
490,jordan,300,1999
491,jordan,260,1999
492,jordan,190,1999
493,jordan,300,1999
494,air,350,1999
495,air,501,1999
496,jordan,250,1998
497,jordan,225,1998
498,jordan,350,1998
499,jordan,370,1998
500,jordan,350,1998
501,jordan,554,1998
502,jordan,350,1997
503,jordan,375,1997
504,jordan,380,1997
505,jordan,350,1997
506,air,150,1997
507,jordan,355,1997
508,air,370,1997
509,jordan,399,1997
510,jordan,300,1996
511,jordan,485,1996
512,jordan,450,1995
513,jordan,499,1995
514,jordan,550,1995
515,jordan,555,1995
516,jordan,400,1994
517,jordan,320,1994
518,jordan,299,1992
519,jordan,475,1992
520,adidas,161,1970
521,air,330,2008
522,jordan,266,2008
523,jordan,277,2008
524,jordan,682,2008
525,lebron,300,2008
526,jordan,139,2008
527,jordan,340,2008
528,jordan,615,2008
529,jordan,125,2008
530,jordan,300,2008
531,lebron,250,2008
532,None,720,2008
533,air,199,2008
534,kobe,158,2008
535,jordan,276,2008
536,nike,610,2008
537,lebron,240,2008
538,lebron,398,2008
539,jordan,200,2008
540,jordan,205,2008
541,jordan,226,2008
542,jordan,259,2008
543,jordan,150,2008
544,jordan,250,2008
545,nike,300,2008
546,jordan,193,2008
547,jordan,220,2008
548,jordan,335,2008
549,jordan,770,2008
550,air,450,2008
551,lebron,399,2008
552,nike,325,2008
553,nike,650,2008
554,jordan,185,2008
555,gucci,199,2008
556,nike,200,2008
557,None,100,2008
558,nike,175,2008
559,lebron,411,2008
560,jordan,444,2008
561,None,499,2008
562,air,500,2008
563,kobe,600,2008
564,lebron,270,2008
565,nike,400,2008
566,kobe,550,2008
567,lebron,565,2008
568,lebron,625,2008
569,lebron,700,2008
570,jordan,145,2008
571,jordan,225,2008
572,jordan,250,2008
573,jordan,250,2008
574,jordan,365,2008
575,adidas,744,2008
576,air,79,2008
577,jordan,65,2008
578,jordan,380,2008
579,air,400,2008
580,None,500,2008
581,jordan,130,2008
582,None,180,2008
583,jordan,199,2008
584,lebron,254,2008
585,air,359,2008
586,nike,400,2008
587,jordan,444,2008
588,kobe,450,2008
589,air,500,2008
590,jordan,444,2008
591,jordan,329,2008
592,jordan,366,2008
593,air,195,2008
594,jordan,300,2008
595,jordan,310,2008
596,balance,158,2008
597,jordan,152,2008
598,jordan,180,2008
599,None,180,2008
600,jordan,225,2008
601,balance,495,2008
602,nike,600,2008
603,jordan,175,2008
604,puma,350,2008
605,jordan,149,2008
606,jordan,240,2008
607,jordan,390,2008
608,asics,800,2008
609,air,600,2008
610,jordan,135,2008
611,nike,150,2008
612,nike,150,2008
613,air,200,2008
614,nike,225,2008
615,air,240,2008
616,nike,320,2008
617,air,999,2008
618,jordan,143,2008
619,nike,150,2008
620,balance,565,2008
621,nike,300,2008
622,None,165,2008
623,jordan,241,2008
624,jordan,295,2008
625,jordan,335,2008
626,air,200,2008
627,jordan,200,2008
628,air,305,2008
629,air,750,2008
630,jordan,167,2008
631,jordan,99,2008
632,nike,400,2008
633,air,400,2008
634,adidas,440,2008
635,air,451,2008
636,air,388,2008
637,nike,475,2008
638,jordan,429,2008
639,jordan,220,2008
640,jordan,275,2008
641,nike,114,2008
642,jordan,199,2008
643,jordan,400,2008
644,asics,765,2008
645,air,250,2008
646,air,135,2008
647,jordan,180,2008
648,jordan,188,2008
649,jordan,200,2008
650,jordan,200,2008
651,jordan,250,2008
652,jordan,319,2008
653,nike,575,2008
654,air,140,2008
655,air,180,2008
656,nike,210,2008
657,nike,300,2008
658,asics,566,2008
659,asics,566,2008
660,jordan,197,2008
661,nike,300,2008
662,nike,666,2008
663,air,775,2008
664,jordan,190,2008
665,jordan,210,2008
666,jordan,249,2008
667,jordan,261,2008
668,jordan,349,2008
669,jordan,395,2008
670,vans,200,2008
671,air,221,2008
672,jordan,270,2008
673,air,245,2008
674,air,200,2008
675,jordan,145,2008
676,air,160,2008
677,jordan,159,2008
678,nike,200,2008
679,air,200,2008
680,nike,250,2008
681,jordan,350,2008
682,nike,389,2008
683,jordan,450,2008
684,nike,500,2008
685,air,355,2008
686,jordan,195,2008
687,jordan,160,2008
688,jordan,310,2008
689,vans,600,2008
690,jordan,150,2008
691,adidas,588,2008
692,jordan,155,2008
693,jordan,109,2008
694,jordan,250,2008
695,lebron,200,2008
696,air,330,2008
697,nike,355,2008
698,nike,375,2008
699,nike,378,2008
700,jordan,175,2008
701,jordan,200,2008
702,lebron,360,2008
703,jordan,230,2008
704,jordan,353,2008
705,jordan,230,2008
706,lebron,220,2008
707,jordan,160,2008
708,lebron,400,2008
709,nike,270,2008
710,jordan,288,2008
711,nike,300,2008
712,jordan,545,2008
713,air,825,2008
714,jordan,207,2008
715,lebron,580,2008
716,jordan,145,2008
717,jordan,199,2008
718,lebron,300,2008
719,kobe,320,2008
720,air,350,2008
721,nike,502,2008
722,nike,675,2008
723,nike,799,2008
724,nike,245,2008
725,air,789,2008
726,air,250,2008
727,jordan,130,2008
728,jordan,373,2008
729,air,188,2008
730,jordan,275,2008
731,air,125,2008
732,nike,275,2008
733,air,795,2008
734,air,100,2008
735,nike,110,2008
736,nike,120,2008
737,nike,149,2008
738,nike,149,2008
739,air,153,2008
740,air,160,2008
741,nike,160,2008
742,air,163,2008
743,adidas,178,2008
744,nike,200,2008
745,air,200,2008
746,nike,250,2008
747,nike,250,2008
748,air,250,2008
749,nike,250,2008
750,air,253,2008
751,air,268,2008
752,nike,275,2008
753,adidas,278,2008
754,nike,300,2008
755,nike,315,2008
756,nike,388,2008
757,air,388,2008
758,air,425,2008
759,air,440,2008
760,kobe,450,2008
761,nike,475,2008
762,air,475,2008
763,air,488,2008
764,air,500,2008
765,air,520,2008
766,nike,544,2008
767,nike,550,2008
768,None,599,2008
769,nike,625,2008
770,air,999,2008
771,lebron,250,2007
772,jordan,159,2007
773,jordan,200,2007
774,jordan,211,2007
775,lebron,205,2007
776,lebron,225,2007
777,air,128,2007
778,nike,750,2007
779,jordan,135,2007
780,jordan,355,2007
781,air,350,2007
782,air,450,2007
783,jordan,185,2007
784,lebron,300,2007
785,air,95,2007
786,jordan,675,2007
787,air,300,2007
788,air,350,2007
789,air,443,2007
790,jordan,99,2007
791,jordan,215,2007
