,sneaker,price,brand,date
55,"[""Air Zoom Flight '98 The Glove Lakers""]",200,air,['release: 12/10/2013']
56,['Reebok Pump Omni Lite Solebox Grey Pink'],100,reebok,['release: 12/07/2013']
57,['New Balance 1500 Saint Alfred (2013)'],99,balance,['release: 12/07/2013']
58,"['KD 6 EXT', 'Gum', 'KD 6 EXT', 'Gum']",140,kd,['release: 12/07/2013']
59,"['Air Mission', 'White Royal Black', 'Air Mission', 'White Royal Black']",160,air,['release: 12/07/2013']
60,"[""Air Zoom Flight '98 The Glove Sole Collector Sonic Wave""]",180,air,['release: 12/07/2013']
61,"['KD 6', 'Precision Timing', 'KD 6', 'Precision Timing']",250,kd,['release: 12/07/2013']
62,"['Nike Dunk High', 'Fox Bros', 'Nike Dunk High', 'Fox Bros']",295,nike,['release: 12/07/2013']
63,"['Nike Dunk SB High Concepts ""Ugly Christmas Sweater"" Grey']",355,nike,['release: 12/07/2013']
64,"['Kobe 1', 'Prelude (81 Points)', 'Kobe 1', 'Prelude (81 Points)']",515,kobe,['release: 12/07/2013']
65,"['Nike Dunk SB High Concepts ""Ugly Christmas Sweater"" - Black (Special Box)']",549,nike,['release: 12/07/2013']
66,"['Nike Dunk SB High Concepts ""Ugly Christmas Sweater"" - Black']",700,nike,['release: 12/07/2013']
67,"['LeBron 11', 'Akron vs. Miami', 'LeBron 11', 'Akron vs. Miami']",159,lebron,['release: 12/06/2013']
68,"['Kobe 8', 'What the Kobe (WTK)', 'Kobe 8', 'What the Kobe (WTK)']",600,kobe,['release: 12/06/2013']
69,"['Air Max 90', 'Chlorine Blue (2013)', 'Air Max 90', 'Chlorine Blue (2013)']",154,air,['release: 12/05/2013']
70,"['New Balance 577', 'Ronnie Fieg ""Americana""', 'New Balance 577', 'Ronnie Fieg ""Americana""']",161,balance,['release: 12/03/2013']
71,"['Jordan 1 Retro', 'Premier Red Gucci (2013)', 'Jordan 1 Retro', 'Premier Red Gucci (2013)']",185,gucci,['release: 12/02/2013']
72,['Nike Dunk SB Low Brickhouse Turbo Green'],200,nike,['release: 12/01/2013']
73,"['Air Max Plus TN', 'Hyper Blue', 'Air Max Plus TN', 'Hyper Blue']",588,air,['release: 12/01/2013']
74,"['Jordan 1 Low', 'Triple White', 'Jordan 1 Low', 'Triple White']",180,jordan,['release: 12/01/2013']
75,['Nike Air Max 90 2014 Infrared'],195,air,['release: 12/01/2013']
76,"['Kobe 8', 'Mine Grey', 'Kobe 8', 'Mine Grey']",390,kobe,['release: 11/30/2013']
77,"['New Balance 580', 'Whiz x mita (2013)', 'New Balance 580', 'Whiz x mita (2013)']",92,balance,['release: 11/30/2013']
78,"['Jordan 6 Rings', 'Bred', 'Jordan 6 Rings', 'Bred']",125,jordan,['release: 11/30/2013']
79,['Air Trainer SC High Ohio State'],200,air,['release: 11/30/2013']
80,['Puma Blaze Of Glory Sneaker Freaker Black Beast'],206,puma,['release: 11/30/2013']
81,['Free Trainer 5.0 Oregon Ducks'],210,,['release: 11/30/2013']
82,['Puma Blaze Of Glory Sneaker Freaker Great White'],244,puma,['release: 11/30/2013']
83,['Nike Free TR 5.0 Rivalry OSU Beavers'],300,nike,['release: 11/30/2013']
84,"['Saucony Shadow 5000 West NYC ""Cabin Fever""']",355,saucony,['release: 11/30/2013']
85,"['Jordan 5 Retro', 'Oreo', 'Jordan 5 Retro', 'Oreo']",260,jordan,['release: 11/29/2013']
86,"['KD 6', 'Maryland Blue Crab', 'KD 6', 'Maryland Blue Crab']",175,kd,['release: 11/29/2013']
87,"['Nike Dunk SB Low DJ Clark Kent x Primitive ""112""']",200,nike,['release: 11/29/2013']
88,['Reebok Shaq Attaq Brick City'],80,reebok,['release: 11/29/2013']
89,"['LeBron 11', 'T-Rex (GS)', 'LeBron 11', 'T-Rex (GS)']",80,lebron,['release: 11/29/2013']
90,"['Air Force 1 Low', 'Cherrywood', 'Air Force 1 Low', 'Cherrywood']",91,air,['release: 11/29/2013']
91,"['Air Penny V', 'Camo', 'Air Penny V', 'Camo']",120,air,['release: 11/29/2013']
92,"['Jordan 5 Retro', 'Oreo (PS)', 'Jordan 5 Retro', 'Oreo (PS)']",188,jordan,['release: 11/29/2013']
93,"['Air Max 1', 'Liberty Black Paisley (W)', 'Air Max 1', 'Liberty Black Paisley (W)']",195,air,['release: 11/29/2013']
94,"['New Balance 1600 Ronnie Fieg ""Daytona""']",250,balance,['release: 11/29/2013']
95,"['Air Force 1 Low', 'Black Green Glow', 'Air Force 1 Low', 'Black Green Glow']",261,air,['release: 11/29/2013']
96,"['Nike CJ81', 'Transformers Megatron Rises Pack', 'Nike CJ81', 'Transformers Megatron Rises Pack']",699,nike,['release: 11/29/2013']
97,['Air Foamposite One Safari'],200,air,['release: 11/27/2013']
98,"['Penny V', ""Lil' Penny"", 'Penny V', ""Lil' Penny""]",115,,['release: 11/27/2013']
99,"['LeBron 11', 'Terracotta Warrior', 'LeBron 11', 'Terracotta Warrior']",159,lebron,['release: 11/27/2013']
100,"['Air Force 1 Low', 'LeBron James (Cavs)', 'Air Force 1 Low', 'LeBron James (Cavs)']",200,air,['release: 11/27/2013']
101,"['Air Max 90', 'Atmos ""Black Tiger Camo""', 'Air Max 90', 'Atmos ""Black Tiger Camo""']",300,air,['release: 11/27/2013']
102,['Reebok Kamikaze II Nocturnal'],229,reebok,['release: 11/26/2013']
103,['Reebok Kamikaze II Sonics'],170,reebok,['release: 11/25/2013']
104,"['Nike Roshe Run', 'Doernbecher (GS)', 'Nike Roshe Run', 'Doernbecher (GS)']",76,nike,['release: 11/23/2013']
105,"['Jordan 5 Retro', 'Tropical Teal (GS)', 'Jordan 5 Retro', 'Tropical Teal (GS)']",120,jordan,['release: 11/23/2013']
106,"['Nike Free 5.0', 'Doernbecher (2013)', 'Nike Free 5.0', 'Doernbecher (2013)']",170,nike,['release: 11/23/2013']
107,['Jordan Son of Mars Low Knicks'],196,jordan,['release: 11/23/2013']
108,"['Jordan 10 Retro', 'Doernbecher', 'Jordan 10 Retro', 'Doernbecher']",280,jordan,['release: 11/23/2013']
109,"['Jordan XX8 SE', 'OKC Camo', 'Jordan XX8 SE', 'OKC Camo']",350,jordan,['release: 11/23/2013']
110,['Air Foamposite One Doernbecher'],475,air,['release: 11/23/2013']
111,"['Air Max 95', 'Country Camo (Japan)', 'Air Max 95', 'Country Camo (Japan)']",237,air,['release: 11/22/2013']
112,"['Saucony Shadow', 'Bait Cruel World 1', 'Saucony Shadow', 'Bait Cruel World 1']",260,saucony,['release: 11/22/2013']
113,"['New Balance 998', 'Kithstrike Black Red', 'New Balance 998', 'Kithstrike Black Red']",240,balance,['release: 11/20/2013']
114,['Saucony Shadow 6000 Footpatrol Only In Soho'],500,saucony,['release: 11/16/2013']
115,"['New Balance 577', 'Burn Rubber ""Joe Louis""', 'New Balance 577', 'Burn Rubber ""Joe Louis""']",150,balance,['release: 11/16/2013']
116,"['LeBron 11', 'Gamma Blue', 'LeBron 11', 'Gamma Blue']",153,lebron,['release: 11/16/2013']
117,['Jordan 1 Retro High Laney (GS)'],240,jordan,['release: 11/16/2013']
118,"['Jordan 1 OG', 'Laney', 'Jordan 1 OG', 'Laney']",249,jordan,['release: 11/16/2013']
119,['Jordan 12 Retro Metal Cleat Playoffs'],160,jordan,['release: 11/15/2013']
120,"['LeBron 11', 'Forging Iron', 'LeBron 11', 'Forging Iron']",180,lebron,['release: 11/15/2013']
121,"['adidas JS Bear', 'Tinsel Gold', 'adidas JS Bear', 'Tinsel Gold']",466,adidas,['release: 11/15/2013']
122,['Converse Aero Jam Hi Black Peacoat (2013)'],160,converse,['release: 11/14/2013']
123,"['ASICS GT-II', 'Christmas Elf (2013)', 'ASICS GT-II', 'Christmas Elf (2013)']",75,asics,['release: 11/14/2013']
124,"['Air Python', 'White Baroque Brown', 'Air Python', 'White Baroque Brown']",75,air,['release: 11/09/2013']
125,['Air Trainer SC High Alabama'],130,air,['release: 11/09/2013']
126,"['KD 6', 'N7', 'KD 6', 'N7']",150,kd,['release: 11/09/2013']
127,['Nike Zoom Vapor 9 LE Savile Row'],160,nike,['release: 11/04/2013']
128,"['Jordan 5 Retro', 'Laney (2013)', 'Jordan 5 Retro', 'Laney (2013)']",175,jordan,['release: 11/02/2013']
129,"['Jordan 5 Retro', 'Laney 2013 (PS)', 'Jordan 5 Retro', 'Laney 2013 (PS)']",90,jordan,['release: 11/02/2013']
130,['Nike SB Stefan Janoski Zoom Digi Floral Orange'],125,nike,['release: 11/02/2013']
131,"['ASICS Onitsuka Tiger Colorado 85 Hanon ""Wildcats 2""']",145,asics,['release: 11/02/2013']
132,['Nike Dunk SB Low Gamma Orange'],210,nike,['release: 11/01/2013']
133,"['LeBron 11', 'Away', 'LeBron 11', 'Away']",230,lebron,['release: 11/01/2013']
134,['Nike Trainerendor Poler'],275,nike,['release: 11/01/2013']
